INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420012103041905', '503174659', 'Schmarjestrasse 72, 93466 Chamerau', 'Jowia Zawadzka', '503174659', 'Residential Normal', 'S 1-0061-0741-9t ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420012103618211', '503971109', 'Kasanienallee 75, 25585 Lütjenwestedt', 'Zosia Wieczorek', '503971109', 'Residential Normal', 'S 1-0334-4067-6t ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420012300140177', '552820222', 'Bergrain 128, 1468 Cheyres', 'Susanne Bachmeier', '552820222', 'Residential Normal', 'S 1-0697-1934-1 ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420013500220132', '504976607', 'Scharnwebersrasse 25, 69502 Hemsbach', 'Apolonia Wojciechowska', '504976607', 'Residential Normal', 'S 1-0639-0530-9t')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420013500565050', '555885911', 'Schachermairdorf 55, 6075 VOLDERWALD', 'Sophia Beckenbauer', '555885911', 'Residential Normal', 'S 1-0212-2794-5 ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420013500699933', '503772593', 'Schaarseinweg 97, 93320 Abensberg', 'Apolinary Woźniak', '503772593', 'Residential Normal', 'S 1-0142-0185-6t ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420015100638514', '503383861', 'Anhalter Strasse 9, 67759 Nußbach', 'Parycja Duda', '503383861', 'Residential Normal', 'S 1-0639-0530-9t')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420016101187797', '555137709', 'Wiedner Haupstrasse 36, 4902 HUEB', 'Janina Faber', '555137709', 'Residential Normal', 'S 1-0334-4067-6t ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420017100266274', '503107771', 'Pazmaniteng 83, 4631 ACHLEITE', 'Juliane Gotschalk', '503107771', 'Residential Normal', 'S 1-0697-1934-1t ')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420018100561521', '503852567', 'Rosenstrasse 15, 3572 WOLFSHOFERAMT', 'Ue Schreiner', '503852567', 'Residential Normal', 'S 1-0109-5696-7t')
INSERT INTO leap_customers (imsi, msisdn, official_address, subscriber_name, subscriber_id, subscriber_type, customer_pid) VALUES ('420012000283814', '505258978', 'Rosenstrasse 18, 3572 WOLFSHOFERAMT', 'Test Subscirber', '505258978', 'Residential Normal', 'S 1-0109-9996-9t')
